1	2018年第二场次洪水（id=1），分别用防洪优先、综合平衡、兴利优先三个方案做预演对比，看哪个方案效果最好
2	对2020年8月那场长历时洪水（id=11），用不同调度方案预演一下，看看削峰率差多少
3	1981年7月那场洪水（id=12），起调水位456.2m比较低，帮我生成3组方案看看调蓄效果如何
4	2019年8月那场短时特大暴雨（id=19），起调水位459.8m很高，用防洪优先方案预演，最高水位会不会超汛限？
5	对2021年7月复式洪水（id=21），帮我对比防洪优先和综合平衡两个方案，重点看最高水位和削峰率的差异
6	用默认的3组方案预演2023年7月典型暴雨洪水（id=17），给出推荐方案和理由
7	对2018年第一场次洪水（id=9）做多方案预演，看看结果怎么样
8	对2025年6月洪水（id=16）做多方案对比
9	我想预演一个不存在的洪水（id=999），看看会怎样
10	不指定洪水，直接说帮我做个方案对比，看系统怎么处理
11	对id=15那场没有名字的洪水做多方案预演
12	起调水位用459.18m（当前水位），只给一个方案，看看单方案预演效果
13	对2018年第二场次洪水（id=1）再次做多方案对比，看看结果是否一致
14	帮我解读一下2018年第二场次洪水（id=1）的预演结果，这场洪水的调度效果怎么样？
15	2018年第二场次洪水（id=1）的削峰率只有23.34%，算不算好？安全余量够不够？
16	2018年第二场次洪水（id=1）的最高水位458m，距汛限水位462.88m还有多远？算安全吗？
17	2020年8月那场洪水（id=11）的调度效果如何？用通俗的话给我讲讲
18	1981年7月洪水（id=12）的入库洪峰是多少？什么时候到的？出库洪峰呢？
19	对比一下2018年两场洪水（id=1和id=9）的调度效果，哪场处理得好？
20	帮我解读2023年7月典型暴雨洪水（id=17）的预演结果
21	解读一下2025年6月洪水（id=16）的结果
22	帮我解读一个不存在的洪水（id=888）的预演结果
23	2018年第二场次洪水（id=1）的入库洪峰458 m³/s，出库只有20 m³/s，这个数据对吗？帮我核实一下
24	帮我看看2018年第二场次洪水（id=1）的各项统计指标，哪些是正常的，哪些可能有问题
25	假设未来48小时三岔水库遭遇一场大暴雨，总降雨量200mm，均匀分布，用防洪优先方案预演一下，水位会涨到多少？
26	如果未来24小时突降150mm暴雨，三角分布（前期小、中期大、后期小），起调水位用当前的459.18m，帮我预演一下
27	假设未来72小时持续降雨300mm，用综合平衡方案预演，看看最高水位会不会超汛限
28	如果起调水位降到457m，再遇到100mm每24h的暴雨，用防洪优先方案能安全度汛吗？
29	假设未来48小时降雨100mm，用当前水位459.18m作为起调水位，分别用防洪优先和兴利优先两个方案预演，对比一下
30	模拟一场特大暴雨：500mm每48h，看看三岔水库能不能扛得住
31	假设降雨量1000mm每48h，预演一下
32	假设未来0小时降雨100mm，预演一下
33	假设降雨量-50mm，预演一下
34	假设未来48小时降雨100mm，起调水位用500m（远超汛限），预演一下
35	假设未来48小时只下了1mm的雨，几乎没什么雨，预演一下结果
36	假设未来168小时（7天）持续降雨500mm，这是模型能算的最长时间了
37	假设未来1小时突降100mm（极端短时暴雨），预演一下
38	帮我生成2018年第二场次洪水（id=1）的预演报告
39	把2020年8月洪水（id=11）的预演结果整理成报告
40	生成一份包含2018年两场洪水（id=1和id=9）对比分析的报告
41	概括一下1981年7月洪水（id=12）的预演关键结论
42	帮我生成2023年7月典型暴雨洪水（id=17）的预演报告
43	帮我生成一个不存在的洪水（id=999）的报告
44	帮我生成id=15那场没有名字的洪水的预演报告
45	帮我把所有已完成的洪水（status=2）都生成报告汇总
46	以当前水位459.18m为基准，分析降雨量从100mm到400mm（每100mm一档）对最高水位的影响，看看多少降雨量会超汛限
47	起调水位分别用457m、458m、459m、460m，降雨量固定200mm每48h，分析起调水位对预演结果的影响
48	降雨时长分别用12h、24h、48h、72h，总降雨量固定200mm，分析时长对结果的影响
49	当前方案能承受的最大降雨量是多少？帮我算一下安全阈值
50	以2018年第二场次洪水（id=1）为基准，分析降雨量变化正负20%和正负50%对结果的影响
51	分析降雨量从0mm到2000mm（每100mm一档）的敏感性
52	分析一个不存在的参数风速对结果的影响
53	给10个降雨量档位做敏感性分析
54	分析降雨量从1mm到5mm（每1mm一档）的敏感性
55	降雨量用462.88mm（和汛限水位数值一样），看看有没有特殊含义
56	历史上三岔水库遇到过类似200mm每48h的洪水吗？当时是怎么调度的？
57	从历史洪水中能总结出什么调度规律？不同降雨量下一般用什么方案？
58	历史上有没有调度失败的案例？失败原因是什么？
59	过去几年三岔水库的洪水调度效果对比怎么样？
60	历史上起调水位超过459m的洪水有几场？处理效果如何？
61	历史上短时暴雨（24h以内）和长历时洪水（48h以上）的调度策略有什么不同？
62	历史上有没有遇到过1000mm以上的特大洪水？
63	帮我找历史上降雨量50mm左右的洪水
64	历史上所有status=3（失败）的洪水有哪些？失败原因是什么？
65	历史洪水中有几场有完整的预演结果数据？
66	气象预报说未来48小时有200mm暴雨，帮我做个全面分析：先用虚拟场景预演，再对比不同方案，最后生成报告
67	参考历史经验，对当前水位459.18m做敏感性分析，看看能承受多大降雨
68	假设未来48小时降雨300mm，先预演看结果，再解读一下调度效果，最后给出建议
69	对2018年第二场次洪水（id=1）做多方案对比，解读推荐方案，再分析降雨量敏感性
70	我是新来的调度员，帮我看看历史洪水的调度经验，再用当前条件做个预演分析
71	汛期快到了，帮我做个全面的预演分析：当前水位安全吗？能承受多大降雨？历史上类似情况怎么处理的？
72	假设明天有暴雨预警（预计150-250mm），帮我快速预演不同降雨量下的结果，给出调度建议
73	防汛值班日志：今天水位459.18m，气象预报48小时有雨，请帮我做个预演分析
74	领导问：如果今年汛期遇到和2019年8月那场短时特大暴雨一样的洪水，我们准备好了吗？
75	下周有上级检查，帮我准备一份三岔水库历年洪水调度效果的分析报告
76	今年汛期三岔水库的调度预案需要更新，帮我参考历史经验做个分析
77	有群众问：三岔水库安全吗？遇到大洪水怎么办？帮我准备个通俗易懂的解释
78	气象台发布了暴雨黄色预警，预计未来24小时降雨80-120mm，帮我快速评估风险
79	今年汛期结束后，帮我做个调度效果复盘：对比预演预测和实际结果
80	明年调度方案需要优化，帮我分析一下历史数据，看看哪些方面可以改进
81	帮我预演一下，但是我不告诉你用哪个洪水
82	对洪水id=0做多方案预演
83	对洪水id=-1做多方案预演
84	假设降雨量是一百毫米，预演一下
85	帮我同时预演5个不同的虚拟场景
86	对2018年第二场次洪水（id=1），用一个根本不存在的调度目标（比如目标=99）做预演
87	帮我预演一下，起调水位用0m
88	帮我预演一下，起调水位用1000m
89	假设降雨量0mm每48h，预演一下
90	帮我做一个负降雨量的预演
91	帮我查一下当前三岔水库的水位是多少？数据是什么时候的？
92	三岔水库的汛限水位是多少？现在是汛期还是非汛期？
93	帮我查一下三岔水库的水位-库容曲线数据，看看有没有异常
94	系统配置里三岔水库的最大下泄流量和下游安全泄量分别是多少？
95	帮我查一下最近48小时三岔水库的降雨情况
96	历史洪水中有几场有完整的入库流量过程数据？
97	2018年第二场次洪水（id=1）的入库洪峰458 m³/s，这个数值合理吗？三岔水库的泄流能力是多少？
98	帮我看看系统里定义了哪些调度场景模板？
